"","date","game","url","home","away"
"1",2018-05-31,"Game 1","https://www.basketball-reference.com/boxscores/201805310GSW.html","Golden State Warriors","Cleveland Cavaliers"
"2",2018-06-03,"Game 2","https://www.basketball-reference.com/boxscores/201806030GSW.html","Golden State Warriors","Cleveland Cavaliers"
"3",2018-06-06,"Game 3","https://www.basketball-reference.com/boxscores/201806060CLE.html","Cleveland Cavaliers","Golden State Warriors"
"4",2018-06-08,"Game 4","https://www.basketball-reference.com/boxscores/201806080CLE.html","Cleveland Cavaliers","Golden State Warriors"
"5",2018-05-13,"Game 1","https://www.basketball-reference.com/boxscores/201805130BOS.html","Boston Celtics","Cleveland Cavaliers"
"6",2018-05-15,"Game 2","https://www.basketball-reference.com/boxscores/201805150BOS.html","Boston Celtics","Cleveland Cavaliers"
"7",2018-05-19,"Game 3","https://www.basketball-reference.com/boxscores/201805190CLE.html","Cleveland Cavaliers","Boston Celtics"
"8",2018-05-21,"Game 4","https://www.basketball-reference.com/boxscores/201805210CLE.html","Cleveland Cavaliers","Boston Celtics"
"9",2018-05-23,"Game 5","https://www.basketball-reference.com/boxscores/201805230BOS.html","Boston Celtics","Cleveland Cavaliers"
"10",2018-05-25,"Game 6","https://www.basketball-reference.com/boxscores/201805250CLE.html","Cleveland Cavaliers","Boston Celtics"
"11",2018-05-27,"Game 7","https://www.basketball-reference.com/boxscores/201805270BOS.html","Boston Celtics","Cleveland Cavaliers"
"12",2018-05-14,"Game 1","https://www.basketball-reference.com/boxscores/201805140HOU.html","Houston Rockets","Golden State Warriors"
"13",2018-05-16,"Game 2","https://www.basketball-reference.com/boxscores/201805160HOU.html","Houston Rockets","Golden State Warriors"
"14",2018-05-20,"Game 3","https://www.basketball-reference.com/boxscores/201805200GSW.html","Golden State Warriors","Houston Rockets"
"15",2018-05-22,"Game 4","https://www.basketball-reference.com/boxscores/201805220GSW.html","Golden State Warriors","Houston Rockets"
"16",2018-05-24,"Game 5","https://www.basketball-reference.com/boxscores/201805240HOU.html","Houston Rockets","Golden State Warriors"
"17",2018-05-26,"Game 6","https://www.basketball-reference.com/boxscores/201805260GSW.html","Golden State Warriors","Houston Rockets"
"18",2018-05-28,"Game 7","https://www.basketball-reference.com/boxscores/201805280HOU.html","Houston Rockets","Golden State Warriors"
"19",2018-04-30,"Game 1","https://www.basketball-reference.com/boxscores/201804300BOS.html","Boston Celtics","Philadelphia 76ers"
"20",2018-05-03,"Game 2","https://www.basketball-reference.com/boxscores/201805030BOS.html","Boston Celtics","Philadelphia 76ers"
"21",2018-05-05,"Game 3","https://www.basketball-reference.com/boxscores/201805050PHI.html","Philadelphia 76ers","Boston Celtics"
"22",2018-05-07,"Game 4","https://www.basketball-reference.com/boxscores/201805070PHI.html","Philadelphia 76ers","Boston Celtics"
"23",2018-05-09,"Game 5","https://www.basketball-reference.com/boxscores/201805090BOS.html","Boston Celtics","Philadelphia 76ers"
"24",2018-05-01,"Game 1","https://www.basketball-reference.com/boxscores/201805010TOR.html","Toronto Raptors","Cleveland Cavaliers"
"25",2018-05-03,"Game 2","https://www.basketball-reference.com/boxscores/201805030TOR.html","Toronto Raptors","Cleveland Cavaliers"
"26",2018-05-05,"Game 3","https://www.basketball-reference.com/boxscores/201805050CLE.html","Cleveland Cavaliers","Toronto Raptors"
"27",2018-05-07,"Game 4","https://www.basketball-reference.com/boxscores/201805070CLE.html","Cleveland Cavaliers","Toronto Raptors"
"28",2018-04-28,"Game 1","https://www.basketball-reference.com/boxscores/201804280GSW.html","Golden State Warriors","New Orleans Pelicans"
"29",2018-05-01,"Game 2","https://www.basketball-reference.com/boxscores/201805010GSW.html","Golden State Warriors","New Orleans Pelicans"
"30",2018-05-04,"Game 3","https://www.basketball-reference.com/boxscores/201805040NOP.html","New Orleans Pelicans","Golden State Warriors"
"31",2018-05-06,"Game 4","https://www.basketball-reference.com/boxscores/201805060NOP.html","New Orleans Pelicans","Golden State Warriors"
"32",2018-05-08,"Game 5","https://www.basketball-reference.com/boxscores/201805080GSW.html","Golden State Warriors","New Orleans Pelicans"
"33",2018-04-29,"Game 1","https://www.basketball-reference.com/boxscores/201804290HOU.html","Houston Rockets","Utah Jazz"
"34",2018-05-02,"Game 2","https://www.basketball-reference.com/boxscores/201805020HOU.html","Houston Rockets","Utah Jazz"
"35",2018-05-04,"Game 3","https://www.basketball-reference.com/boxscores/201805040UTA.html","Utah Jazz","Houston Rockets"
"36",2018-05-06,"Game 4","https://www.basketball-reference.com/boxscores/201805060UTA.html","Utah Jazz","Houston Rockets"
"37",2018-05-08,"Game 5","https://www.basketball-reference.com/boxscores/201805080HOU.html","Houston Rockets","Utah Jazz"
"38",2018-04-15,"Game 1","https://www.basketball-reference.com/boxscores/201804150BOS.html","Boston Celtics","Milwaukee Bucks"
"39",2018-04-17,"Game 2","https://www.basketball-reference.com/boxscores/201804170BOS.html","Boston Celtics","Milwaukee Bucks"
"40",2018-04-20,"Game 3","https://www.basketball-reference.com/boxscores/201804200MIL.html","Milwaukee Bucks","Boston Celtics"
"41",2018-04-22,"Game 4","https://www.basketball-reference.com/boxscores/201804220MIL.html","Milwaukee Bucks","Boston Celtics"
"42",2018-04-24,"Game 5","https://www.basketball-reference.com/boxscores/201804240BOS.html","Boston Celtics","Milwaukee Bucks"
"43",2018-04-26,"Game 6","https://www.basketball-reference.com/boxscores/201804260MIL.html","Milwaukee Bucks","Boston Celtics"
"44",2018-04-28,"Game 7","https://www.basketball-reference.com/boxscores/201804280BOS.html","Boston Celtics","Milwaukee Bucks"
"45",2018-04-15,"Game 1","https://www.basketball-reference.com/boxscores/201804150CLE.html","Cleveland Cavaliers","Indiana Pacers"
"46",2018-04-18,"Game 2","https://www.basketball-reference.com/boxscores/201804180CLE.html","Cleveland Cavaliers","Indiana Pacers"
"47",2018-04-20,"Game 3","https://www.basketball-reference.com/boxscores/201804200IND.html","Indiana Pacers","Cleveland Cavaliers"
"48",2018-04-22,"Game 4","https://www.basketball-reference.com/boxscores/201804220IND.html","Indiana Pacers","Cleveland Cavaliers"
"49",2018-04-25,"Game 5","https://www.basketball-reference.com/boxscores/201804250CLE.html","Cleveland Cavaliers","Indiana Pacers"
"50",2018-04-27,"Game 6","https://www.basketball-reference.com/boxscores/201804270IND.html","Indiana Pacers","Cleveland Cavaliers"
"51",2018-04-29,"Game 7","https://www.basketball-reference.com/boxscores/201804290CLE.html","Cleveland Cavaliers","Indiana Pacers"
"52",2018-04-14,"Game 1","https://www.basketball-reference.com/boxscores/201804140PHI.html","Philadelphia 76ers","Miami Heat"
"53",2018-04-16,"Game 2","https://www.basketball-reference.com/boxscores/201804160PHI.html","Philadelphia 76ers","Miami Heat"
"54",2018-04-19,"Game 3","https://www.basketball-reference.com/boxscores/201804190MIA.html","Miami Heat","Philadelphia 76ers"
"55",2018-04-21,"Game 4","https://www.basketball-reference.com/boxscores/201804210MIA.html","Miami Heat","Philadelphia 76ers"
"56",2018-04-24,"Game 5","https://www.basketball-reference.com/boxscores/201804240PHI.html","Philadelphia 76ers","Miami Heat"
"57",2018-04-14,"Game 1","https://www.basketball-reference.com/boxscores/201804140TOR.html","Toronto Raptors","Washington Wizards"
"58",2018-04-17,"Game 2","https://www.basketball-reference.com/boxscores/201804170TOR.html","Toronto Raptors","Washington Wizards"
"59",2018-04-20,"Game 3","https://www.basketball-reference.com/boxscores/201804200WAS.html","Washington Wizards","Toronto Raptors"
"60",2018-04-22,"Game 4","https://www.basketball-reference.com/boxscores/201804220WAS.html","Washington Wizards","Toronto Raptors"
"61",2018-04-25,"Game 5","https://www.basketball-reference.com/boxscores/201804250TOR.html","Toronto Raptors","Washington Wizards"
"62",2018-04-27,"Game 6","https://www.basketball-reference.com/boxscores/201804270WAS.html","Washington Wizards","Toronto Raptors"
"63",2018-04-14,"Game 1","https://www.basketball-reference.com/boxscores/201804140GSW.html","Golden State Warriors","San Antonio Spurs"
"64",2018-04-16,"Game 2","https://www.basketball-reference.com/boxscores/201804160GSW.html","Golden State Warriors","San Antonio Spurs"
"65",2018-04-19,"Game 3","https://www.basketball-reference.com/boxscores/201804190SAS.html","San Antonio Spurs","Golden State Warriors"
"66",2018-04-22,"Game 4","https://www.basketball-reference.com/boxscores/201804220SAS.html","San Antonio Spurs","Golden State Warriors"
"67",2018-04-24,"Game 5","https://www.basketball-reference.com/boxscores/201804240GSW.html","Golden State Warriors","San Antonio Spurs"
"68",2018-04-15,"Game 1","https://www.basketball-reference.com/boxscores/201804150HOU.html","Houston Rockets","Minnesota Timberwolves"
"69",2018-04-18,"Game 2","https://www.basketball-reference.com/boxscores/201804180HOU.html","Houston Rockets","Minnesota Timberwolves"
"70",2018-04-21,"Game 3","https://www.basketball-reference.com/boxscores/201804210MIN.html","Minnesota Timberwolves","Houston Rockets"
"71",2018-04-23,"Game 4","https://www.basketball-reference.com/boxscores/201804230MIN.html","Minnesota Timberwolves","Houston Rockets"
"72",2018-04-25,"Game 5","https://www.basketball-reference.com/boxscores/201804250HOU.html","Houston Rockets","Minnesota Timberwolves"
"73",2018-04-14,"Game 1","https://www.basketball-reference.com/boxscores/201804140POR.html","Portland Trail Blazers","New Orleans Pelicans"
"74",2018-04-17,"Game 2","https://www.basketball-reference.com/boxscores/201804170POR.html","Portland Trail Blazers","New Orleans Pelicans"
"75",2018-04-19,"Game 3","https://www.basketball-reference.com/boxscores/201804190NOP.html","New Orleans Pelicans","Portland Trail Blazers"
"76",2018-04-21,"Game 4","https://www.basketball-reference.com/boxscores/201804210NOP.html","New Orleans Pelicans","Portland Trail Blazers"
"77",2018-04-15,"Game 1","https://www.basketball-reference.com/boxscores/201804150OKC.html","Oklahoma City Thunder","Utah Jazz"
"78",2018-04-18,"Game 2","https://www.basketball-reference.com/boxscores/201804180OKC.html","Oklahoma City Thunder","Utah Jazz"
"79",2018-04-21,"Game 3","https://www.basketball-reference.com/boxscores/201804210UTA.html","Utah Jazz","Oklahoma City Thunder"
"80",2018-04-23,"Game 4","https://www.basketball-reference.com/boxscores/201804230UTA.html","Utah Jazz","Oklahoma City Thunder"
"81",2018-04-25,"Game 5","https://www.basketball-reference.com/boxscores/201804250OKC.html","Oklahoma City Thunder","Utah Jazz"
"82",2018-04-27,"Game 6","https://www.basketball-reference.com/boxscores/201804270UTA.html","Utah Jazz","Oklahoma City Thunder"
